price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state
2199,2005,chevrolet,impala lt,excellent,6,gas,215000,clean,automatic,rwd,full-size,sedan,silver,wi
2200,2002,toyota,rav4,good,4,gas,175429,clean,automatic,4wd,mid-size,SUV,silver,wi
2200,2006,chrysler,pt cruiser,good,4,gas,108850,clean,automatic,fwd,mid-size,other,silver,wi
2200,1999,honda,accord lx,good,4,gas,86424,clean,automatic,fwd,compact,sedan,silver,wi
2200,2007,ford,crown victoria interceptor,good,8,gas,125500,clean,automatic,rwd,full-size,sedan,black,wi
2250,2005,mitsubishi,endeavor ls,good,6,gas,194000,clean,automatic,4wd,mid-size,SUV,silver,wi
2250,1998,pontiac,bonneville sse,excellent,8,gas,134000,clean,automatic,rwd,full-size,sedan,green,wi
2250,1999,volkswagen,golf,good,4,gas,166000,clean,manual,fwd,compact,hatchback,black,wi
2290,1999,bmw,528i,excellent,6,gas,196000,clean,automatic,rwd,mid-size,sedan,blue,wi
2295,2004,saturn,ion 1,good,4,gas,175636,clean,automatic,fwd,compact,sedan,silver,wi
2300,2003,ford,explorer 4x4,fair,6,gas,126000,clean,automatic,4wd,full-size,SUV,red,wi
2300,2006,nissan,sentra,good,4,gas,149000,clean,automatic,fwd,compact,sedan,green,wi
2300,2006,kia,sedona,good,6,gas,203000,clean,automatic,fwd,mid-size,mini-van,blue,wi
2300,2008,ford,taurus,fair,6,gas,208200,clean,automatic,fwd,full-size,sedan,black,wi
2400,2008,hyundai,accent,good,4,gas,167720,clean,manual,fwd,compact,hatchback,yellow,wi
2400,2005,toyota,sienna xle,fair,6,gas,276000,clean,automatic,fwd,full-size,mini-van,brown,wi
2400,2005,ford,explorer,good,6,gas,157000,clean,automatic,fwd,mid-size,SUV,brown,wi
2500,2007,chevrolet,express 3500 passenger,fair,8,gas,194500,clean,automatic,rwd,full-size,van,white,wi
2500,2009,pontiac,g6,good,6,gas,120000,clean,automatic,fwd,mid-size,sedan,white,wi
2500,2004,gmc,canyon extended cab sle,fair,5,gas,198660,clean,automatic,rwd,mid-size,pickup,silver,wi
2500,2002,buick,lesabre,good,6,gas,110000,clean,automatic,fwd,full-size,sedan,silver,wi
2500,2004,gmc,canyon extended cab sle,fair,5,gas,198660,clean,automatic,rwd,mid-size,pickup,silver,wi
2500,2007,chrysler,town & country,good,6,gas,150000,clean,automatic,fwd,mid-size,mini-van,red,wi
2500,2009,dodge,charger,fair,6,gas,276000,clean,automatic,fwd,mid-size,sedan,red,wi
2500,1996,dodge,3500,excellent,6,gas,220000,clean,manual,rwd,full-size,truck,red,wi
2500,2004,chevrolet,impala,good,4,gas,145400,clean,automatic,fwd,mid-size,sedan,grey,wi
2500,1999,chevrolet,silverado 1500,good,8,gas,204000,clean,automatic,4wd,full-size,pickup,green,wi
2500,2001,chevrolet,blazer zr2,like new,6,gas,160000,clean,automatic,4wd,mid-size,SUV,black,wi
2500,2005,dodge,caravan,good,6,gas,167000,clean,automatic,fwd,full-size,mini-van,black,wi
2500,2006,honda,accord,good,4,gas,268144,clean,automatic,fwd,mid-size,sedan,black,wi
2550,2008,toyota,yaris,good,4,gas,114100,clean,automatic,fwd,compact,hatchback,blue,wi
2675,2002,ford,f150 xl,excellent,6,gas,183098,clean,manual,rwd,full-size,pickup,brown,wi
2675,2002,chrysler,sebrimg lxi,excellent,6,gas,161098,clean,automatic,fwd,mid-size,sedan,blue,wi
2690,2007,dodge,caliber sxt,excellent,4,gas,144578,clean,automatic,fwd,mid-size,wagon,red,wi
2700,2005,chevrolet,trailblazer,good,4,gas,160000,clean,automatic,4wd,mid-size,sedan,silver,wi
2700,2008,dodge,grand caravan sxt,good,6,gas,191432,clean,automatic,fwd,compact,van,silver,wi
2700,2005,nissan,altima,good,4,gas,191000,clean,automatic,fwd,mid-size,sedan,grey,wi
2750,2003,volkswagen,passat,fair,4,gas,19300,clean,automatic,fwd,mid-size,wagon,silver,wi
2790,2004,kia,sorento lx,excellent,6,gas,157400,clean,automatic,4wd,full-size,SUV,silver,wi
2800,2006,honda,civic ex,good,4,gas,169160,clean,automatic,fwd,mid-size,sedan,red,wi
2800,2007,honda,fit,good,4,diesel,18900,clean,automatic,fwd,compact,hatchback,orange,wi
2800,2007,honda,fit,good,4,gas,189000,clean,automatic,fwd,compact,hatchback,orange,wi
2800,2004,honda,civic ex,excellent,4,gas,160265,clean,automatic,fwd,compact,sedan,grey,wi
2800,2011,dodge,grand caravan,good,6,gas,255088,clean,automatic,fwd,full-size,van,grey,wi
2800,2003,chrysler,town & country,good,4,gas,225000,clean,automatic,fwd,mid-size,mini-van,green,wi
2800,2007,dodge,durango,good,8,gas,167000,clean,automatic,4wd,full-size,truck,blue,wi
2800,2003,dodge,caravan,like new,6,gas,190000,clean,automatic,fwd,mid-size,mini-van,blue,wi
2850,2006,chevrolet,trailblazer ls 4x4,good,6,gas,135000,clean,automatic,4wd,mid-size,SUV,grey,wi
2890,2007,saturn,aura,excellent,6,gas,155200,clean,automatic,fwd,mid-size,sedan,grey,wi
2900,1997,chevrolet,c30,fair,8,gas,210000,clean,automatic,rwd,full-size,truck,white,wi
2900,2007,chevrolet,cobalt lt,good,6,gas,112266,clean,automatic,fwd,compact,sedan,white,wi
2900,2007,chevrolet,cobalt lt,good,6,gas,112266,clean,automatic,fwd,compact,sedan,white,wi
2900,2001,honda,cr-v sport,good,4,gas,182000,clean,automatic,4wd,sub-compact,SUV,silver,wi
2900,2007,chevrolet,impala lt,good,6,gas,170000,clean,automatic,fwd,mid-size,sedan,silver,wi
2900,2004,jeep,grand cherokee,excellent,8,gas,137328,clean,automatic,4wd,mid-size,SUV,brown,wi
2900,2005,jeep,grand cherokee,like new,6,gas,214100,clean,automatic,4wd,full-size,SUV,blue,wi
2900,2005,jeep,grand cherokee,like new,6,gas,214100,clean,automatic,4wd,full-size,SUV,blue,wi
2900,2008,pontiac,g6 2008,excellent,6,gas,155068,clean,other,fwd,mid-size,sedan,black,wi
2950,2006,chevrolet,hhr lt,good,4,gas,190000,clean,automatic,fwd,compact,hatchback,blue,wi
2975,2002,mitsubishi,eclipse,excellent,4,gas,122098,clean,automatic,fwd,mid-size,hatchback,red,wi
2995,2000,mitsubishi,eclipse,good,4,gas,216000,clean,automatic,fwd,compact,coupe,silver,wi
2995,2003,ford,taurus se,fair,6,gas,123431,clean,automatic,fwd,mid-size,sedan,silver,wi
2999,2003,honda,odyssey lx,good,6,gas,268940,clean,automatic,fwd,full-size,mini-van,grey,wi
3000,2007,mazda,6i touring,good,4,gas,240000,clean,automatic,fwd,mid-size,sedan,silver,wi
3000,2002,ram,1500,good,8,gas,176500,clean,automatic,4wd,full-size,truck,red,wi
3000,2004,hyundai,elantra,good,4,gas,149396,clean,automatic,fwd,compact,sedan,red,wi
3000,2009,volkswagen,jetta,good,5,gas,152600,clean,automatic,fwd,compact,wagon,red,wi
3000,2005,pontiac,grand prix,good,6,gas,217000,clean,automatic,fwd,mid-size,sedan,grey,wi
3000,2006,chevrolet,impala,good,6,gas,171297,clean,automatic,fwd,full-size,sedan,grey,wi
3000,2005,honda,accord hybrid,good,6,hybrid,201300,clean,automatic,fwd,mid-size,sedan,grey,wi
3100,2002,jeep,liberty limited 4x4,good,6,gas,149000,clean,automatic,4wd,mid-size,SUV,white,wi
3100,2003,toyota,camry,good,6,gas,203000,clean,automatic,fwd,full-size,sedan,grey,wi
3150,2010,hyundai,elantra,excellent,4,gas,160430,clean,automatic,fwd,compact,sedan,red,wi
3200,2010,ford,explorer xlt,good,6,gas,180408,clean,automatic,4wd,full-size,SUV,white,wi
3200,2006,pontiac,grand prix,good,6,gas,204693,clean,automatic,fwd,mid-size,sedan,white,wi
3200,2003,ford,f-150,fair,8,gas,185516,clean,automatic,4wd,full-size,truck,white,wi
3200,1993,toyota,celica gt,like new,4,gas,154145,clean,automatic,fwd,compact,convertible,red,wi
3200,2008,chevrolet,equinox,excellent,6,gas,145000,clean,automatic,4wd,mid-size,SUV,grey,wi
3200,2006,ford,taurus sel,excellent,6,gas,168422,clean,automatic,fwd,full-size,sedan,grey,wi
3200,2006,ford,taurus sel,excellent,6,gas,168422,clean,automatic,fwd,full-size,sedan,grey,wi
3200,2003,gmc,envoy slt,good,6,gas,137484,clean,automatic,4wd,mid-size,SUV,custom,wi
3200,2006,ford,explorer eddie bauer 4x4,fair,6,gas,197500,clean,automatic,4wd,full-size,SUV,brown,wi
3200,2008,audi,a6,good,6,gas,203700,clean,automatic,fwd,full-size,sedan,black,wi
3290,2009,pontiac,g6,excellent,4,gas,145400,clean,automatic,fwd,mid-size,sedan,grey,wi
3295,2004,honda,civic,good,4,gas,179545,clean,manual,fwd,compact,coupe,silver,wi
3300,2000,toyota,camry le,good,4,gas,182000,clean,automatic,fwd,mid-size,sedan,white,wi
3300,2004,ford,escape,good,6,gas,202000,clean,automatic,fwd,mid-size,SUV,grey,wi
3300,1994,ford,ranger,good,6,gas,112800,clean,automatic,rwd,mid-size,truck,green,wi
3300,2005,jeep,liberty,good,6,gas,185237,lien,automatic,4wd,mid-size,offroad,blue,wi
3400,2006,nissan,sentra,excellent,4,gas,95000,clean,manual,fwd,mid-size,sedan,silver,wi
3400,2008,chevrolet,impala,good,6,gas,170000,clean,automatic,fwd,full-size,sedan,black,wi
3485,2006,toyota,sienna,good,6,gas,225724,clean,automatic,fwd,full-size,mini-van,brown,wi
3490,1999,ram,1500,good,8,gas,178000,clean,automatic,rwd,full-size,truck,red,wi
3490,2009,hyundai,sonata gls,excellent,4,gas,162600,clean,automatic,fwd,mid-size,sedan,grey,wi
3495,2004,saturn,ion 2,excellent,4,gas,132204,clean,automatic,fwd,compact,sedan,silver,wi
3495,2008,dodge,avenger,good,6,gas,176000,clean,automatic,fwd,mid-size,sedan,grey,wi
3495,2003,toyota,camry le,good,4,gas,234456,rebuilt,automatic,fwd,full-size,sedan,green,wi
3495,2007,jeep,liberty 4x4,excellent,6,gas,172000,clean,automatic,4wd,mid-size,SUV,black,wi
3500,2004,ford,f150,excellent,8,gas,130000,clean,automatic,rwd,full-size,pickup,white,wi
3500,2002,nissan,pathfinder,excellent,6,gas,151000,clean,automatic,4wd,full-size,SUV,silver,wi
3500,2003,acura,tl,excellent,6,gas,111900,clean,automatic,fwd,full-size,sedan,silver,wi
3500,2008,volkswagen,passat,excellent,4,gas,160500,clean,automatic,fwd,mid-size,sedan,silver,wi
3500,2012,nissan,versa 1.8 s,good,4,gas,217365,clean,automatic,fwd,compact,hatchback,silver,wi
3500,2007,mazda,6,fair,4,gas,142000,clean,manual,4wd,mid-size,sedan,silver,wi
3500,2009,nissan,versa,excellent,4,gas,146000,clean,automatic,fwd,mid-size,hatchback,red,wi
3500,2009,nissan,rogue,like new,4,gas,183000,clean,automatic,4wd,mid-size,SUV,red,wi
3500,2006,ford,expedition,good,8,gas,235000,clean,automatic,4wd,full-size,SUV,red,wi
3500,2001,ford,f150 supercrew cab,excellent,8,gas,240000,clean,automatic,4wd,full-size,truck,red,wi
3500,2005,nissan,altima,good,6,gas,109000,clean,automatic,fwd,mid-size,sedan,red,wi
3500,2008,toyota,solara,good,6,gas,200000,clean,automatic,fwd,full-size,coupe,grey,wi
3500,2008,volvo,s60 2.5t,excellent,4,gas,205800,clean,other,fwd,mid-size,sedan,green,wi
3500,1996,toyota,tacoma sr5,good,6,gas,220000,clean,manual,4wd,mid-size,pickup,custom,wi
3500,1995,jaguar,xj xj6 sedan 4d,good,6,gas,207300,clean,automatic,rwd,full-size,sedan,brown,wi
3500,2009,chevrolet,impala lt,good,6,gas,172098,clean,automatic,fwd,mid-size,sedan,brown,wi
3500,2000,chrysler,concorde lxi,excellent,8,gas,104000,clean,automatic,rwd,full-size,sedan,brown,wi
3500,2000,chrysler,concorde,excellent,8,gas,104000,clean,automatic,rwd,full-size,sedan,brown,wi
3500,2008,ford,fusion sel,good,6,gas,150000,clean,automatic,fwd,mid-size,sedan,blue,wi
3500,2005,toyota,rav4,good,4,gas,136000,clean,manual,fwd,full-size,SUV,black,wi
3500,2007,ford,escape,like new,6,gas,140,clean,automatic,4wd,full-size,SUV,black,wi
3500,2004,pontiac,grand prix gtp,excellent,6,gas,147000,clean,automatic,fwd,mid-size,sedan,black,wi
3500,2001,mercedes-benz,benz c240,good,6,gas,106,clean,manual,rwd,mid-size,sedan,black,wi
3595,2003,lexus,es300,excellent,6,gas,219608,clean,automatic,fwd,mid-size,sedan,white,wi
3600,2007,ford,edge,good,6,gas,167330,clean,automatic,fwd,mid-size,mini-van,red,wi
3600,2007,volkswagen,jetta,fair,5,gas,132700,clean,automatic,fwd,compact,sedan,blue,wi
3675,1999,dodge,durango slt_rwd,excellent,8,gas,207098,clean,automatic,rwd,mid-size,SUV,white,wi
3690,2004,toyota,corolla,excellent,4,gas,213744,clean,automatic,fwd,mid-size,sedan,black,wi
3690,2004,toyota,corolla,excellent,4,gas,213744,clean,automatic,fwd,mid-size,sedan,black,wi
3695,2004,honda,civic,good,4,gas,171,clean,automatic,fwd,compact,sedan,black,wi
3700,2000,subaru,outback,excellent,4,gas,145000,clean,automatic,4wd,mid-size,wagon,white,wi
3700,2006,chevrolet,malibu,good,6,gas,102000,clean,automatic,fwd,mid-size,sedan,green,wi
3700,2008,honda,odyssey ex-l,excellent,6,gas,175000,clean,other,fwd,full-size,van,blue,wi
3700,2008,toyota,sienna,good,6,gas,226500,clean,automatic,fwd,full-size,mini-van,black,wi
3750,2006,ram,1500 slt,good,8,gas,177309,clean,automatic,rwd,full-size,pickup,white,wi
3750,2006,ram,1500 slt,good,8,gas,177309,clean,automatic,rwd,full-size,pickup,white,wi
3750,2003,jeep,liberty,good,6,gas,111000,clean,automatic,4wd,compact,SUV,red,wi
3750,2006,toyota,prius,good,4,gas,191500,clean,automatic,fwd,compact,hatchback,grey,wi
3790,2007,ford,five hundred sel,like new,6,gas,107400,clean,automatic,fwd,mid-size,sedan,blue,wi
3800,2000,chevrolet,express 3500 cargo van,good,8,gas,173000,clean,automatic,rwd,full-size,van,white,wi
3800,2004,toyota,camry,like new,4,gas,158000,clean,automatic,fwd,full-size,sedan,silver,wi
3800,2004,toyota,camry,like new,4,gas,158000,clean,automatic,fwd,full-size,sedan,silver,wi
3800,2005,chrysler,pt cruiser,good,4,gas,66100,clean,automatic,fwd,compact,hatchback,silver,wi
3800,2008,nissan,altima 2.5 sl,good,4,gas,165509,clean,automatic,fwd,mid-size,sedan,grey,wi
3800,2012,chevrolet,cruze ls,good,4,gas,170000,clean,automatic,fwd,mid-size,sedan,blue,wi
3900,2011,mitsubishi,galant,good,4,gas,146800,clean,other,fwd,mid-size,sedan,white,wi
3900,2008,hyundai,santa fe,good,6,gas,179000,clean,automatic,fwd,full-size,SUV,silver,wi
3900,2005,honda,odyssey,good,8,gas,215000,clean,automatic,fwd,mid-size,mini-van,silver,wi
3900,2010,kia,forte koup,good,4,gas,133785,clean,automatic,fwd,mid-size,coupe,red,wi
3900,2004,chevrolet,silverado,good,8,gas,160000,clean,automatic,4wd,full-size,pickup,custom,wi
3900,2006,honda,pilot ex-l,good,6,gas,255000,clean,automatic,4wd,full-size,SUV,blue,wi
3900,2002,gmc,yukon xl 2500,good,8,gas,179000,clean,automatic,4wd,full-size,SUV,black,wi
3908,2010,ford,focus,good,4,gas,145142,rebuilt,automatic,fwd,compact,sedan,black,wi
3908,2010,ford,focus,good,4,gas,145142,rebuilt,automatic,fwd,compact,sedan,black,wi
3915,2010,ford,focus,good,4,gas,145142,rebuilt,automatic,fwd,compact,sedan,black,wi
3950,2000,chevrolet,silverado 2500 hd,fair,8,gas,261058,clean,automatic,4wd,full-size,truck,blue,wi
3950,2008,honda,odyssey exl,excellent,6,gas,169000,clean,automatic,fwd,full-size,mini-van,black,wi
3975,2008,chrysler,sebring,excellent,6,gas,133329,clean,automatic,fwd,mid-size,convertible,silver,wi
3988,2008,buick,lucerne cxl,excellent,6,gas,160000,clean,automatic,fwd,full-size,sedan,silver,wi
3990,2007,volvo,s60,excellent,4,gas,133544,clean,automatic,fwd,mid-size,sedan,grey,wi
3990,2007,volvo,s60,excellent,4,gas,133544,clean,automatic,fwd,mid-size,sedan,grey,wi
3990,2007,pontiac,grand prix,excellent,6,gas,122280,clean,automatic,fwd,full-size,sedan,blue,wi
3995,2006,dodge,caravan sxt,excellent,6,gas,127004,clean,automatic,fwd,mid-size,mini-van,silver,wi
3995,2000,pontiac,grand am gt,excellent,4,gas,85769,clean,automatic,fwd,compact,coupe,silver,wi
3995,2011,dodge,grand caravan express,good,6,gas,92901,salvage,automatic,fwd,full-size,mini-van,silver,wi
3995,2002,chevrolet,prizm,excellent,4,gas,103327,clean,automatic,fwd,compact,sedan,red,wi
3995,2009,ford,focus ses,good,4,gas,195088,clean,automatic,fwd,compact,sedan,red,wi
3995,2008,toyota,matrix,excellent,4,gas,161305,clean,manual,fwd,compact,hatchback,blue,wi
3995,2007,honda,odyssey exl,good,6,gas,171000,clean,automatic,fwd,mid-size,mini-van,blue,wi
4000,2008,dodge,grand caravan sxt,good,6,gas,123000,clean,automatic,fwd,full-size,mini-van,orange,wi
4000,2006,chevrolet,trailblazer,good,6,gas,215271,clean,automatic,4wd,mid-size,SUV,grey,wi
4000,2011,ford,taurus,fair,6,gas,205000,clean,automatic,fwd,full-size,sedan,custom,wi
4000,2000,jeep,grand cherokee loredo,excellent,6,gas,184000,clean,automatic,4wd,full-size,SUV,brown,wi
4000,2006,honda,odyssey,good,6,gas,167919,clean,automatic,fwd,full-size,mini-van,blue,wi
4000,2006,honda,odyssey,good,6,gas,167919,clean,automatic,fwd,full-size,mini-van,blue,wi
4000,2009,hyundai,sonata,good,4,gas,207000,clean,automatic,fwd,full-size,sedan,blue,wi
4000,2005,toyota,camry xle v6,good,6,gas,220000,clean,automatic,fwd,mid-size,sedan,black,wi
4000,2007,buick,lacrosse,good,6,gas,123307,clean,automatic,4wd,full-size,other,black,wi
4000,1997,jaguar,xk8,fair,8,gas,130000,clean,automatic,rwd,compact,convertible,black,wi
4000,1997,jaguar,xk8,fair,8,gas,130000,clean,automatic,rwd,compact,convertible,black,wi
4200,2001,chevrolet,express 2500,excellent,6,gas,57699,clean,automatic,fwd,compact,van,white,wi
4200,2007,nissan,murado le,good,6,gas,123862,clean,automatic,4wd,compact,SUV,white,wi
4200,2003,acura,mdx,good,6,gas,139000,clean,automatic,4wd,full-size,SUV,red,wi
4200,2007,honda,civic lx,good,4,gas,187000,clean,automatic,fwd,compact,coupe,blue,wi
4200,2007,mercury,montego premier,good,6,gas,119375,clean,automatic,4wd,mid-size,sedan,black,wi
4200,2012,ford,fusion se,good,4,gas,175000,clean,automatic,fwd,mid-size,sedan,black,wi
4200,2012,ford,fiesta se,excellent,4,gas,120000,clean,automatic,fwd,mid-size,sedan,black,wi
4250,2002,chevrolet,express 3500,good,8,gas,149000,clean,automatic,rwd,full-size,van,white,wi
4250,2006,ram,1500 st,good,6,gas,156557,clean,automatic,rwd,full-size,truck,red,wi
4250,2010,ford,escape,fair,6,gas,165500,clean,automatic,4wd,mid-size,SUV,grey,wi
4250,2004,chevrolet,trailblazer ls,excellent,6,gas,152000,clean,automatic,4wd,mid-size,SUV,blue,wi
4257,2011,chevrolet,cruze lt,good,4,gas,216000,clean,automatic,fwd,mid-size,sedan,black,wi
4300,2008,ford,expedition,good,8,gas,193369,clean,automatic,4wd,full-size,SUV,grey,wi
4300,1999,jeep,grand cherokee laredo 4x4,good,6,gas,119000,clean,automatic,4wd,mid-size,SUV,blue,wi
4400,2007,toyota,corolla,good,4,gas,130932,clean,automatic,fwd,full-size,sedan,silver,wi
4400,2007,dodge,durango slt,good,8,gas,132580,clean,automatic,4wd,full-size,SUV,grey,wi
4400,2006,honda,pilot ex-l,good,6,gas,255000,clean,automatic,4wd,full-size,SUV,blue,wi
4400,2009,mazda,3,good,4,gas,141000,clean,automatic,fwd,compact,sedan,black,wi
4450,2004,chevrolet,tahoe,good,8,gas,135600,clean,automatic,4wd,full-size,SUV,red,wi
4495,2008,nissan,sentra 2.0 s,good,4,gas,177239,clean,automatic,fwd,compact,sedan,silver,wi
4500,2011,chevrolet,cruze ls,excellent,4,gas,139000,clean,manual,fwd,mid-size,sedan,white,wi
4500,2011,toyota,camry,good,4,gas,184500,clean,automatic,fwd,full-size,sedan,silver,wi
4500,2011,nissan,versa 1.8 s,excellent,4,gas,81250,clean,manual,fwd,compact,hatchback,silver,wi
4500,2003,chevrolet,avalanche,fair,8,gas,254000,clean,automatic,4wd,full-size,truck,silver,wi
4500,2010,honda,odyssey ex w/ dvd,good,6,gas,190000,clean,automatic,fwd,full-size,mini-van,grey,wi
4500,2012,ford,focus,good,4,gas,154000,clean,automatic,fwd,full-size,hatchback,grey,wi
4500,2004,gmc,yukon xl,like new,8,gas,16500,clean,manual,4wd,full-size,SUV,green,wi
4500,2007,honda,odyssey,good,6,gas,174500,clean,automatic,fwd,full-size,mini-van,blue,wi
4500,2007,bmw,530xi,good,6,gas,136366,clean,automatic,4wd,full-size,sedan,blue,wi
4500,2003,honda,civic ex,good,4,gas,72459,clean,manual,fwd,full-size,coupe,blue,wi
4500,2008,dodge,durango 2008,excellent,8,gas,82725,clean,automatic,4wd,full-size,SUV,blue,wi
4500,2009,ford,esape,good,6,gas,150000,clean,automatic,fwd,mid-size,SUV,blue,wi
4500,2006,hyundai,tucson,like new,6,gas,84000,clean,automatic,4wd,mid-size,SUV,black,wi
4500,2002,chevrolet,suburban,excellent,8,gas,170000,clean,automatic,rwd,full-size,SUV,black,wi
4500,2013,dodge,dart,good,4,gas,126000,clean,automatic,fwd,mid-size,coupe,black,wi
4550,2008,ford,fusion se,excellent,6,gas,122000,clean,automatic,fwd,mid-size,sedan,red,wi
